vdc_idx,ring_idx,B_g,r_pi,mu_sigma_left,mu_sigma_right,fsr_local,frac_shift,delta_wn_cm_inv,success,note
0,0,200.0,45.97218053140943,38.86135237740771,51.27881472733536,3401.5151250000013,0.16453140587451207,0.10143736490413814,True,ok
0,1,200.0,50.68727597052835,50.0267264537138,53.78993531430549,4278.350135000001,0.04565822912042479,0.02814933977831368,True,ok
0,2,200.0,55.40237140964726,53.670447569799755,59.93690911558745,3778.1273225000004,0.09421547650708709,0.05808599044826577,True,ok
0,3,200.0,62.946524112237526,59.455320613454354,61.37438264763249,4190.7555625,0.02766561932223904,0.017056485402120247,True,ok
0,4,200.0,68.13312909526834,56.95674351268825,68.05612056828313,24411.317892499996,0.028420524474445593,0.017521901648856714,True,ok
0,5,200.0,74.26275316612293,68.03403211398211,79.86952666735637,23538.484664999996,0.03718403689308182,0.02292480696244255,True,ok
0,6,200.0,82.74992495653697,79.54583073823599,100.32233927601816,22205.8910925,0.08414507110769767,0.05187735580006021,True,ok
0,7,200.0,90.29407765912724,79.26753781135983,107.87602129209482,20900.420712499996,0.1280809963776258,0.07896485596647705,True,ok
0,8,200.0,170.4507001241488,162.5469427612656,181.0705603618471,54351.76527250001,0.058554116842453624,0.03609994873147572,True,ok
0,9,200.0,182.2384387219461,172.66988014109876,184.7980806775978,50194.357897500005,0.043186558168905965,0.026625498254565946,True,ok
0,10,200.0,192.14013914409583,174.44284405877048,197.26867056829565,46487.373375,0.09125728050956201,0.056262195135364984,True,ok
0,11,200.0,288.7995956460336,289.47267932383306,303.357284329305,54118.772602500016,0.07604764007851755,0.04688510485728579,True,ok
0,12,200.0,370.84225628670276,364.29192002479243,377.0989949386524,53729.26577250002,0.08836012228973969,0.05447603100477169,True,ok
0,13,200.0,437.32510197827946,427.99417512944694,440.72391609681887,52690.13625000001,0.10493953007172314,0.06469761410093905,True,ok
0,14,200.0,493.90624724770646,492.20477519320275,511.5259040261914,51356.20875000002,0.18881076153057288,0.11640614151083407,True,ok
0,15,200.0,543.4147493584551,543.196203765446,556.1882072655229,58498.50122749992,0.12208181249376941,0.07526622225263219,True,ok
0,16,200.0,594.8092896448512,585.2553819135959,591.7288160228279,51082.30897000013,0.07457698963278421,0.045978415309977934,True,ok
0,17,200.0,636.3021295090978,634.9168446062055,636.9727075758632,53886.66921749996,0.02426231450000651,0.014958270345256786,True,ok
0,18,200.0,677.3234598294323,675.2859061164534,686.0989524969108,62004.95198249997,0.11870598353171434,0.07318494669032943,True,ok
0,19,200.0,721.64535695715,711.121892410598,721.2910180688099,51576.306787499925,0.14121200012561255,0.08706041931295472,True,ok
0,20,200.0,756.53706320663,754.8655257800483,761.3391231255952,51029.39651250013,0.09617298127420551,0.059292836790508945,True,ok
0,21,200.0,789.5427312804625,783.6253711483786,790.9060584239797,53208.14476250007,0.10772477592942588,0.06641478170741423,True,ok
0,22,200.0,822.5483993542949,821.856914332153,823.7437084960192,55386.8930124999,0.028029281679567038,0.017280691541040095,True,ok
0,23,200.0,855.5540674281273,847.9248980756006,856.8303741995528,52546.07208000007,0.14446043989086674,0.08906315652951093,True,ok
0,24,200.0,880.5440732554575,879.6057338742359,886.6592156607417,57493.16453499999,0.10834607689844906,0.06679782792752716,True,ok
0,25,200.0,885.7306782384884,878.4353965876187,886.2308277992347,48332.19510749995,0.14231025647679724,0.08773751940616352,True,ok
0,26,200.0,900.8189836436688,886.5005134567086,914.9131718529433,63197.483167500235,0.4049445413462806,0.24965754706922355,True,ok
0,27,200.0,912.6067222414662,913.0615934234887,916.5821680401426,51549.62823749997,0.062477631792524246,0.038518885198843555,True,ok
1,0,1500.0,48.80123779488078,47.18982291531874,48.67989551855863,4005.7842824999993,0.017830820489101423,0.010993107576511358,True,ok
1,1,1500.0,59.17444776094239,61.79917038825599,64.1937459578246,5614.945490000004,0.02686576031399963,0.016563354077681645,True,ok
1,2,1500.0,65.30407183179699,47.365922946380984,63.432458930619184,4851.938960000003,0.1834468862961734,0.11309919007162354,True,ok
1,3,1500.0,72.37671499047536,62.63161314362225,70.5009912851618,27118.746075000003,0.019316357849301934,0.01190897524617875,True,ok
1,4,1500.0,79.92086769306562,63.623678146539085,83.90411309819476,25969.789855000006,0.057604004318198614,0.03551418268692886,True,ok
1,5,1500.0,95.48068264215806,87.81675751723195,113.34830317019525,23240.57419,0.11049759116821072,0.06812428555376739,True,ok
1,6,1500.0,179.88089100238665,178.965412168937,185.39794741567908,51320.637350000005,0.022834675036916743,0.014078098049887017,True,ok
1,7,1500.0,289.2711051899455,280.6314519159017,293.6691324657631,53496.717745,0.06998137338497427,0.043145113061019896,True,ok
1,8,1500.0,370.37074674279086,354.6689211968697,376.6588264638715,52432.68824250001,0.15335688889163393,0.09454802027844261,True,ok
1,9,1500.0,435.4390638026319,435.81490217975323,444.8146448562569,53405.566032500006,0.07420049917481479,0.04574630035438643,True,ok
1,10,1500.0,492.96322815988265,486.26207559174196,499.68758975889773,52286.845502500044,0.1265794586865504,0.07803912372783625,True,ok
1,11,1500.0,543.4147493584551,534.4103025651564,547.2816170659208,52355.32044750004,0.1329644892964458,0.08197564074996658,True,ok
1,12,1500.0,589.6226846618205,576.6987030234536,591.5088909355869,56625.667017499974,0.15276971467345002,0.09418601397869915,True,ok
1,13,1500.0,635.8306199651859,634.1559825629618,648.2045107136948,55764.839137500036,0.16152900078098148,0.09958631367508106,True,ok
1,14,1500.0,678.2664789172561,668.3906393095998,676.6934256343687,55973.82111249992,0.09976043584406442,0.06150458436748731,True,ok
1,15,1500.0,718.3447901497668,716.2605450181583,718.2790598464306,55615.88390000013,0.026032486235134315,0.016049621599959502,True,ok
1,16,1500.0,756.0655536627182,748.790880332369,758.6700634170672,49510.94237499987,0.15039587151801515,0.09272248552282067,True,ok
1,17,1500.0,788.1282026487268,786.9756605082287,797.1805233626419,59323.757707500015,0.13625314057212104,0.08400316927997598,True,ok
1,18,1500.0,824.9059470738543,817.4115627644405,826.6896793204247,52309.96691249998,0.14580551139917344,0.08989242379727092,True,ok
1,19,1500.0,856.0255769720392,852.6620028225631,859.4919328360354,44239.70553750009,0.13216511514669801,0.08148280835184833,True,ok
1,20,1500.0,881.4870923432813,872.8152843695095,884.1784322108025,59277.514887499856,0.1684026345876302,0.10382406571370541,True,ok
1,21,1500.0,886.2021877824002,883.6599747475831,889.2956367701782,50942.69122499996,0.09806881387014586,0.06046166083239572,True,ok
1,22,1500.0,894.2178500289024,883.7545491814687,888.9053853242896,47052.069350000005,0.09702741011945114,0.0598196116642732,True,ok
1,23,1500.0,900.8189836436688,910.8293675852915,915.4390829942012,57913.79634,0.0726819717362177,0.04481009354883951,True,ok
2,0,2970.0,42.67161372402619,39.40044145967971,44.25345688260074,3081.8171675000026,0.06586595452900992,0.040607863458082566,True,ok
2,1,2970.0,47.386709163145106,30.354903271533303,43.14461032789414,4602.049875000001,0.10213244893632173,0.0629669845476706,True,ok
2,2,2970.0,57.75991912920672,43.580774917011084,65.26750926455308,4731.885485000001,0.24943163044776642,0.15378029004177954,True,ok
2,3,2970.0,62.47501456832563,58.522777299007245,65.11378768007249,4164.966297500001,0.09782670795505549,0.06031239701298119,True,ok
2,4,2970.0,70.01916727091591,65.17101628085919,72.28135462353451,4394.846470000001,0.1111907855945124,0.06855165573027891,True,ok
2,5,2970.0,82.74992495653697,80.46407475901489,82.34186377447615,24000.912865,0.0063688244849192405,0.003926525576399038,True,ok
2,6,2970.0,89.82256811521535,91.9863349565402,107.7961843253423,22780.3692025,0.06932573191174911,0.04274089513671338,True,ok
2,7,2970.0,96.42370172998184,81.75607840383084,114.37199147327327,21550.932689999994,0.14841343921410485,0.0915002707855147,True,ok
2,8,2970.0,175.6373051071796,173.7407527026,181.1134710088416,51470.926515000014,0.02541473807006426,0.015668765764527904,True,ok
2,9,2970.0,286.913557470386,288.9873815618257,304.6005599307823,53461.59098750002,0.08667712872922916,0.053438427083371855,True,ok
2,10,2970.0,368.4847085671433,365.3826588945326,381.2292802204089,53005.83242500003,0.11160353620776751,0.06880612589874692,True,ok
2,11,2970.0,434.49604471480814,425.6887750901608,444.01113096693575,54225.931444999966,0.14693109698759454,0.09058637298865262,True,ok
2,12,2970.0,492.96322815988265,478.79526242408383,502.6738737770184,50751.49494999999,0.23089093317680204,0.1423495272360062,True,ok
2,13,2970.0,542.0002207267194,537.528716663641,552.6421032883874,56676.35626250005,0.1453531434928643,0.0896135286639114,True,ok
2,14,2970.0,591.9802323813799,576.2728146676151,596.1405676063653,54439.80448750005,0.2139355535934402,0.13189614894786694,True,ok
2,15,2970.0,636.3021295090978,618.3602742281902,636.6014090155728,55804.85696249985,0.20510692494412405,0.1264530979926782,True,ok
