image_idx,ring_idx,B_g,r_guess,mu_left,mu_center,mu_right,fsr_local,frac_shift,delta_wn_cm_inv,model,success,note
0,0,5970.0,43.92491745012163,28.59599965737004,36.793906785119816,43.45243600138019,17840.709952,0.02999832968894101,0.01849465455545068,triplet,True,ok
1,0,6150.0,52.95788357565378,50.470899930776525,52.412594019082945,69.85655237369843,4351.786874999998,0.2680078593826835,0.16523295892890474,triplet,True,ok
2,0,7350.0,52.291568393001945,34.628638624699164,52.70572274033792,63.14044569783771,3255.0394319999996,0.42819347171607264,0.2639910429815491,triplet,True,ok
4,0,9300.0,43.68901909018443,29.123280001765334,43.64015542225501,49.760226780831694,3909.7044614999986,0.2081889753111938,0.1283532523496879,triplet,True,ok
0,1,5970.0,58.79896357079774,41.821155633002256,50.09369749545229,62.44168413647998,16312.790208000002,0.06589782716220348,0.04062751366350399,triplet,True,ok
1,1,6150.0,52.95788357565378,50.470899930776525,52.412594019082945,69.85655237369843,4351.786874999998,0.2680078593826835,0.16523295892890474,triplet,True,ok
2,1,7350.0,52.291568393001945,34.628638624699164,52.70572274033792,63.14044569783771,3255.0394319999996,0.42819347171607264,0.2639910429815491,triplet,True,ok
3,1,8050.000000000001,70.33483231301543,60.77761610481592,70.13045844449474,78.55868282754285,28227.055576,0.04388605147893334,0.027056751836580354,triplet,True,ok
4,1,9300.0,56.44148952731935,38.4935681713517,49.73685235406737,63.834624836142105,3842.7803865000005,0.33739952281924523,0.2080145023546518,triplet,True,ok
0,2,5970.0,64.37673086605129,46.713801106652646,65.21404053274249,68.47702233555542,15625.744848,0.08021772397087121,0.049456056702140073,triplet,True,ok
1,2,6150.0,74.96635467202938,58.400976437576496,74.61863490105097,86.07526322709624,28438.8221125,0.07029610570604714,0.04333915271642856,triplet,True,ok
2,2,7350.0,52.291568393001945,34.628638624699164,52.70572274033792,63.14044569783771,3255.0394319999996,0.42819347171607264,0.2639910429815491,triplet,True,ok
3,2,8050.000000000001,70.33483231301543,60.77761610481592,70.13045844449474,78.55868282754285,28227.055576,0.04388605147893334,0.027056751836580354,triplet,True,ok
4,2,9300.0,63.526195325727635,56.1419461595498,63.77348764450648,77.71619165881843,4578.052890500001,0.31540574087305967,0.19445483407710212,triplet,True,ok
0,3,5970.0,140.60621723451635,140.5856415046734,150.4468324680276,156.93930611158876,31786.866552000007,0.0765351186400642,0.047185646510520464,triplet,True,ok
2,3,7350.0,143.85991482341424,126.19698505511137,141.98636823913736,153.57672639044011,24921.598200000004,0.15368460301643302,0.0947500635119809,triplet,True,ok
4,3,9300.0,136.73482190927993,120.13161217655419,131.77909909071641,154.68274326524758,21882.387883000003,0.21695865347723473,0.13375995898719772,triplet,True,ok
0,4,5970.0,155.94507729646358,150.61645905394232,155.97429076304724,166.22824625049088,27238.107744000008,0.0908013170381773,0.05598108325411671,triplet,True,ok
2,4,7350.0,143.85991482341424,126.19698505511137,141.98636823913736,153.57672639044011,24921.598200000004,0.15368460301643302,0.0947500635119809,triplet,True,ok
4,4,9300.0,148.54266490662707,133.99666764691162,143.48951435424908,148.53841670932405,18513.876108000004,0.1109587823227511,0.06840862042093163,triplet,True,ok
0,5,5970.0,164.77654218061502,154.58965673175965,164.5831281652815,170.72002325457186,24405.666024000006,0.10750299472340012,0.06627804853477196,triplet,True,ok
1,5,6150.0,184.5502003393995,174.87449477094702,184.83780795249507,194.21304904628678,23555.570637500008,0.15150597725487627,0.09340689103259943,triplet,True,ok
2,5,7350.0,143.85991482341424,126.19698505511137,141.98636823913736,153.57672639044011,24921.598200000004,0.15368460301643302,0.0947500635119809,triplet,True,ok
3,5,8050.000000000001,182.13743221122888,169.54625676262253,182.1657620499441,198.142685624113,23052.94920000001,0.22805304850363678,0.14059990659903623,triplet,True,ok
4,5,9300.0,148.54266490662707,133.99666764691162,143.48951435424908,148.53841670932405,18513.876108000004,0.1109587823227511,0.06840862042093163,triplet,True,ok
0,6,5970.0,227.06161031094624,213.7571554442026,227.08157517353436,231.65780443274954,26092.16793599999,0.15278946675803434,0.09419819158941697,triplet,True,ok
1,6,6150.0,240.02988789484635,222.14800654180314,233.23111794725256,241.18618321815853,24901.891562499986,0.17711582557306244,0.10919594671582147,triplet,True,ok
2,6,7350.0,213.5820060140835,210.83044160556233,214.04559432970638,223.56705989645903,24209.058703999995,0.11427034877312917,0.07045027667887124,triplet,True,ok
3,6,8050.000000000001,237.1223174070716,219.25222971842274,238.2357174173162,240.39958271560533,25655.119075999995,0.18944404632349698,0.11679657603174906,triplet,True,ok
0,7,5970.0,278.6559577920415,273.9904466190772,280.20111192550246,296.3188874133626,25064.19252000001,0.2540300907202663,0.15661534569683494,triplet,True,ok
1,7,6150.0,287.2563987891523,279.4423800476633,286.85842046693745,296.8296405811093,26014.014874999993,0.19258449356921584,0.11873273339655722,triplet,True,ok
2,7,7350.0,264.2467256126365,256.31590965319407,262.2471768907169,266.9367767383222,25573.643135999984,0.10865478188904132,0.06698815159620303,triplet,True,ok
3,7,8050.000000000001,286.15050670669797,273.12947223877296,284.4119217543058,304.0205943953468,24702.347823999997,0.3608728477571556,0.22248634263696399,triplet,True,ok
4,7,9300.0,263.31489884084135,257.0401113888118,261.91486903701156,264.52695042854225,21896.218858499968,0.08916810398832463,0.054974170153097794,triplet,True,ok
0,8,5970.0,320.48921250644304,310.554813085036,316.13706946182475,324.74723816442474,24553.445591999975,0.18360919512000592,0.11319925716399871,triplet,True,ok
1,8,6150.0,329.4393017238722,327.64411707874257,331.8557861183,338.3407024840311,24508.338662500028,0.14533346382998374,0.08960139570282598,triplet,True,ok
