image_idx,ring_idx,B_g,r_guess,mu_left,mu_center,mu_right,fsr_local,frac_shift,delta_wn_cm_inv,model,success,note
0,0,6000.0,43.92491745012163,28.595999667922186,36.79390671220958,43.45243593778997,17840.709952,0.029998329517148568,0.018494654449536723,triplet,True,ok
1,0,6700.0,52.95788357565378,50.47090077053609,52.412594579692765,69.85655245766654,4351.786874999998,0.2680078509912572,0.16523295375539898,triplet,True,ok
2,0,7300.0,52.291568393001945,34.62863862469921,52.705722540154675,63.14045118324138,3255.0394319999996,0.4281935781205735,0.2639911085823511,triplet,True,ok
4,0,9300.0,43.68901909018443,29.12327994956741,43.64015541710344,49.760226799742455,3909.7044614999986,0.20818897594069882,0.1283532527377921,triplet,True,ok
0,1,6000.0,58.79896357079774,41.82236905680169,50.10266096717322,62.436217771002184,16312.790208000002,0.06587379315926911,0.040612696152447045,triplet,True,ok
1,1,6700.0,52.95788357565378,50.47090077053609,52.412594579692765,69.85655245766654,4351.786874999998,0.2680078509912572,0.16523295375539898,triplet,True,ok
2,1,7300.0,52.291568393001945,34.62863862469921,52.705722540154675,63.14045118324138,3255.0394319999996,0.4281935781205735,0.2639911085823511,triplet,True,ok
3,1,8050.000000000001,70.33483231301543,60.77762323209092,70.1304585513406,78.55868462165253,28227.055576,0.043886041125890556,0.027056745453693312,triplet,True,ok
4,1,9300.0,56.44148952731935,48.19125017923744,49.74770548332468,63.69267904683943,3842.7803865000005,0.22566483065475143,0.13912751581673946,triplet,True,ok
0,2,6000.0,64.37673086605129,46.713801106783414,65.2140404103096,68.47701766825257,15625.744848,0.0802177035168639,0.049456044091777986,triplet,True,ok
1,2,6700.0,74.96635467202938,58.400976549656704,74.61863450828427,86.07526295578546,28438.8221125,0.07029610465471174,0.04333915206825631,triplet,True,ok
2,2,7300.0,52.291568393001945,34.62863862469921,52.705722540154675,63.14045118324138,3255.0394319999996,0.4281935781205735,0.2639911085823511,triplet,True,ok
3,2,8050.000000000001,70.33483231301543,60.77762323209092,70.1304585513406,78.55868462165253,28227.055576,0.043886041125890556,0.027056745453693312,triplet,True,ok
4,2,9300.0,63.526195325727635,56.14194622655709,63.77348802163726,77.71619170188659,4578.052890500001,0.31540574078244776,0.1944548340212378,triplet,True,ok
0,3,6000.0,140.60621723451635,140.58564105323825,150.44683600264867,156.93930672104648,31786.866552000007,0.07653512364569032,0.04718564959660315,triplet,True,ok
2,3,7300.0,143.85991482341424,126.19698505511137,141.9863682806954,153.57672652017357,24921.598200000004,0.15368460381590174,0.0947500640048716,triplet,True,ok
4,3,9300.0,136.73482190927993,120.13161311558247,131.77909962423604,154.68274326524758,21882.387883000003,0.21695864832208517,0.13375995580893044,triplet,True,ok
0,4,6000.0,155.94507729646358,150.61646024227986,155.97429090032938,166.22824635455328,27238.107744000008,0.09080131110218917,0.055981079594444615,triplet,True,ok
2,4,7300.0,143.85991482341424,126.19698505511137,141.9863682806954,153.57672652017357,24921.598200000004,0.15368460381590174,0.0947500640048716,triplet,True,ok
4,4,9300.0,148.54266490662707,133.99666688957774,143.4895089216504,148.5384205196919,18513.876108000004,0.1109588183749654,0.06840864264794415,triplet,True,ok
0,5,6000.0,164.77654218061502,154.58965908897483,164.5831309809629,170.72004168475868,24405.666024000006,0.10750310871336469,0.06627811881218537,triplet,True,ok
1,5,6700.0,184.5502003393995,174.87449535046656,184.83780720656839,194.21304687321077,23555.570637500008,0.15150595503580513,0.09340687733403522,triplet,True,ok
2,5,7300.0,143.85991482341424,126.19698505511137,141.9863682806954,153.57672652017357,24921.598200000004,0.15368460381590174,0.0947500640048716,triplet,True,ok
3,5,8050.000000000001,182.13743221122888,169.54685885715372,182.16578168309647,198.14234211502827,23052.94920000001,0.22804566780768534,0.14059535623161856,triplet,True,ok
4,5,9300.0,148.54266490662707,133.99666688957774,143.4895089216504,148.5384205196919,18513.876108000004,0.1109588183749654,0.06840864264794415,triplet,True,ok
0,6,6000.0,227.06161031094624,213.75713238423478,227.08157562185497,231.65779013666415,26092.16793599999,0.15278952874725701,0.09419822980718681,triplet,True,ok
1,6,6700.0,240.02988789484635,222.14800512904228,233.23112811252838,241.18612432362664,24901.891562499986,0.17711526775585482,0.10919560280878841,triplet,True,ok
2,6,7300.0,213.5820060140835,210.8304335863922,214.0455938096527,223.567057044762,24209.058703999995,0.1142703922750119,0.07045030349877429,triplet,True,ok
3,6,8050.000000000001,237.1223174070716,219.25222971842274,238.2357196680767,240.39960423092592,25655.119075999995,0.18944424793138304,0.11679670032760976,triplet,True,ok
0,7,6000.0,278.6559577920415,273.9910707245441,280.2010628376769,296.318887477305,25064.19252000001,0.2540232690290078,0.15661113996856213,triplet,True,ok
1,7,6700.0,287.2563987891523,279.4425585188593,286.85846734725783,296.82966274144115,26014.014874999993,0.19258282928985232,0.11873170733036517,triplet,True,ok
2,7,7300.0,264.2467256126365,256.31589465170333,262.2471666664994,266.93679335636307,25573.643135999984,0.10865510570239088,0.06698835123451966,triplet,True,ok
3,7,8050.000000000001,286.15050670669797,273.1294662605309,284.4119219797384,304.0205943953468,24702.347823999997,0.360872913857516,0.222486383389344,triplet,True,ok
4,7,9300.0,263.31489884084135,257.04010032421786,261.91483311374543,264.52692875052077,21896.218858499968,0.08916797198488123,0.054974088769963764,triplet,True,ok
0,8,6000.0,320.48921250644304,310.5882158789882,316.1396834589945,324.7483624634122,24553.445591999975,0.18320156016526687,0.1129479409157009,triplet,True,ok
1,8,6700.0,329.4393017238722,327.6441170299077,331.8557853390341,338.3407017043523,24508.338662500028,0.14533345371927694,0.0896013894693446,triplet,True,ok
2,8,7300.0,308.8688639746648,295.40368734043875,306.2658312232665,315.86619963053465,24675.29892000003,0.25345422592977973,0.15626031191725012,triplet,True,ok
3,8,8050.000000000001,326.47275585031593,320.2896771297834,327.98413003276437,336.1286067053898,25278.461599999995,0.20564864931902624,0.12678708342726647,triplet,True,ok
4,8,9300.0,302.04462387213994,289.34779455057816,303.4912263873733,319.9925451811451,26187.390547499977,0.3565281299477594,0.21980772499861861,triplet,True,ok
0,9,6000.0,356.744699925591,352.9682307555934,357.7697952666976,362.8527074893992,26452.542671999996,0.13373979767062433,0.08245363604847368,triplet,True,ok
1,9,6700.0,364.74455744097475,359.4995614395112,363.8071132600476,368.95664172602727,25537.21039999998,0.13488295492422264,0.08315841857227042,triplet,True,ok
2,9,7300.0,346.51879321762624,340.5090919284333,346.1203378918542,352.77116981104945,26440.875863999987,0.16075595618798091,0.09910971404931006,triplet,True,ok
3,9,8050.000000000001,363.1293459808777,360.66573694232846,368.5516710527824,380.9994336695266,25775.212763999996,0.2925445231127308,0.18036037183275636,triplet,True,ok
4,9,9300.0,342.6636037830141,345.2919264060712,354.41980137201557,360.61152513897036,24462.08789400007,0.22103913755642693,0.13627567050334582,triplet,True,ok
0,10,6000.0,392.0705594621968,380.3169408429021,387.3095178245473,392.3891851506037,23037.19265600003,0.2024616729639082,0.12482223980512219,triplet,True,ok
1,10,6700.0,398.2157739000459,390.2512600325704,395.28006557130743,401.70560115062045,24624.38631249999,0.18419431704106268,0.11355999817574763,triplet,True,ok
2,10,7300.0,382.7742806367742,380.55335047632354,388.0447895832714,394.2996683252362,23275.281960000022,0.22881303652820983,0.1410684565525338,triplet,True,ok
3,10,8050.000000000001,397.0366918516474,390.38920976634444,391.37941681283417,398.61438843571517,50848.75926000002,0.06381370617919317,0.039342605535877415,triplet,True,ok
4,10,9300.0,376.67019161537394,373.0829999597411,377.61908388671003,385.75204850140716,50439.78300649996,0.09529896334836496,0.058753984801704656,triplet,True,ok
0,11,6000.0,420.42420987973566,434.50298003925064,437.21627927205856,437.9789510199292,27996.450264000014,0.05416261427663508,0.0333924872235728,triplet,True,ok
1,11,6700.0,428.0189118430545,,,,26820.88241250001,,,triplet,False,frac_shift=0.571 > 0.5 (FSR ref likely wrong)
2,11,7300.0,412.05755893685534,411.6209144220616,414.00360192011175,416.8462788401637,27872.86851999999,0.07765693348230408,0.04787727095086564,triplet,True,ok
3,11,8050.000000000001,397.0366918516474,390.38920976634444,391.37941681283417,398.61438843571517,50848.75926000002,0.06381370617919317,0.039342605535877415,triplet,True,ok
4,11,9300.0,438.54328892147294,420.5953675655913,433.7735803089309,441.3621235899407,49195.44137200003,0.18192804478399516,0.11216278963254941,triplet,True,ok
0,12,6000.0,452.4963718274435,440.7095719312451,446.64336454905487,453.3355455709043,50762.28160799996,0.11118678799170816,0.0685491911169594,triplet,True,ok
1,12,6700.0,458.280559600571,449.08586261346767,455.3377163174972,459.3920005658962,50640.923962500005,0.09244399047287635,0.0569938288981975,triplet,True,ok
2,12,7300.0,444.59453482583433,441.58413790591163,447.5872599979302,449.397583508012,50850.86292799999,0.06845151499779333,0.04220192046719687,triplet,True,ok
3,12,8050.000000000001,456.6036508138103,453.8920701121411,456.23156414075083,460.2246357473825,50897.04868000001,0.0568667947184998,0.035059676151972745,triplet,True,ok
4,12,9300.0,438.54328892147294,420.5953675655913,433.7735803089309,441.3621235899407,49195.44137200003,0.18192804478399516,0.11216278963254941,triplet,True,ok
0,13,6000.0,505.4851611323521,499.6043603944301,505.8248183177665,516.8064346908767,51722.84879999998,0.169019827971732,0.1042045795140148,triplet,True,ok
1,13,6700.0,510.550678454463,498.1738311066469,510.91333259999027,519.1686901498013,51477.223875000054,0.20746032152249927,0.1279040206673855,triplet,True,ok
2,13,7300.0,498.5129520132852,492.77342260062534,494.01725170763956,500.24826996440817,52060.75412800003,0.07128868670053273,0.043951101541635465,triplet,True,ok
3,13,8050.000000000001,509.2974991264929,491.4274114378441,509.15914385490873,511.1313559852378,51832.18379599991,0.19056077625975196,0.117485065511561,triplet,True,ok
4,13,9300.0,491.44242554958817,488.4907219435983,498.68264997381954,504.59154159102366,51203.60978249987,0.1561358514384729,0.0962613140804395,triplet,True,ok
0,14,6000.0,554.2906249658206,541.1182677025798,554.4765987467641,566.8658403225853,50901.85120000009,0.2802245950849612,0.17276485516951987,triplet,True,ok
1,14,6700.0,558.6942089777847,543.18367589709,558.8756871322903,559.5025384003638,50016.957612499944,0.17988483880593564,0.11090310653880125,triplet,True,ok
2,14,7300.0,548.248043729296,542.3576301542638,548.3884249896819,559.4885187890784,50919.135360000015,0.18534882354930574,0.11427177777392461,triplet,True,ok
