Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.26250930,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Average
Trace Detector,Average
Trace Data
1.850000e+05,-8.017773e+01
1.850173e+05,-8.016171e+01
1.850347e+05,-8.009017e+01
1.850520e+05,-7.996311e+01
1.850693e+05,-7.982464e+01
1.850867e+05,-7.987335e+01
1.851040e+05,-7.993132e+01
1.851213e+05,-7.974549e+01
1.851387e+05,-7.956347e+01
1.851560e+05,-7.958087e+01
1.851733e+05,-7.961894e+01
1.851907e+05,-7.961453e+01
1.852080e+05,-7.966012e+01
1.852253e+05,-7.977153e+01
1.852427e+05,-7.990869e+01
1.852600e+05,-8.007253e+01
1.852773e+05,-8.004110e+01
1.852947e+05,-7.989453e+01
1.853120e+05,-7.991871e+01
1.853293e+05,-8.002190e+01
1.853467e+05,-8.020799e+01
1.853640e+05,-8.035401e+01
1.853813e+05,-8.013263e+01
1.853987e+05,-7.980392e+01
1.854160e+05,-7.956553e+01
1.854333e+05,-7.945203e+01
1.854507e+05,-7.956136e+01
1.854680e+05,-7.969944e+01
1.854853e+05,-7.981685e+01
1.855027e+05,-7.987525e+01
1.855200e+05,-7.987321e+01
1.855373e+05,-7.991392e+01
1.855547e+05,-7.997067e+01
