Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.15904698,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Average
Trace Detector,Average
Trace Data
1.850000e+05,-7.890893e+01
1.850173e+05,-7.873933e+01
1.850347e+05,-7.866758e+01
1.850520e+05,-7.869370e+01
1.850693e+05,-7.882079e+01
1.850867e+05,-7.906283e+01
1.851040e+05,-7.938610e+01
1.851213e+05,-7.972195e+01
1.851387e+05,-8.003868e+01
1.851560e+05,-8.025704e+01
1.851733e+05,-8.040287e+01
1.851907e+05,-8.046912e+01
1.852080e+05,-8.034716e+01
1.852253e+05,-8.000631e+01
1.852427e+05,-7.978591e+01
1.852600e+05,-7.967519e+01
1.852773e+05,-7.962436e+01
1.852947e+05,-7.962622e+01
1.853120e+05,-7.952267e+01
1.853293e+05,-7.936293e+01
1.853467e+05,-7.913320e+01
1.853640e+05,-7.889801e+01
1.853813e+05,-7.881782e+01
1.853987e+05,-7.880612e+01
1.854160e+05,-7.882766e+01
1.854333e+05,-7.892458e+01
1.854507e+05,-7.911833e+01
1.854680e+05,-7.938163e+01
1.854853e+05,-7.970892e+01
1.855027e+05,-7.985510e+01
1.855200e+05,-7.981537e+01
1.855373e+05,-7.980544e+01
1.855547e+05,-7.978973e+01
