Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-07,,,
Filter Frequency,2e+08,,,
Record Length,1.25e+06,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH4,CH4 Peak Detect
8.800000e-03,-0.92,-1,0.7,0.7
8.800160e-03,-1,-0.92,0.7,0.74
8.800320e-03,-1,-1,0.7,0.7
8.800480e-03,-1,-0.92,0.7,0.74
8.800640e-03,-0.92,-1,0.7,0.7
8.800800e-03,-1,-0.92,0.74,0.74
8.800960e-03,-1,-1,0.7,0.7
8.801120e-03,-0.92,-0.92,0.7,0.74
8.801280e-03,-1,-1,0.74,0.7
8.801440e-03,-1,-0.92,0.7,0.74
8.801600e-03,-1,-1,0.7,0.7
8.801760e-03,-1,-0.92,0.7,0.74
8.801920e-03,-1,-1,0.74,0.7
8.802080e-03,-1,-0.92,0.74,0.74
8.802240e-03,-1,-1,0.7,0.7
8.802400e-03,-1,-0.92,0.7,0.74
8.802560e-03,-1,-1.08,0.7,0.7
8.802720e-03,-1,-0.92,0.7,0.74
8.802880e-03,-1,-1,0.7,0.7
8.803040e-03,-1,-0.92,0.74,0.74
8.803200e-03,-0.92,-1,0.7,0.7
8.803360e-03,-1,-0.92,0.7,0.74
8.803520e-03,-0.92,-1,0.7,0.7
8.803680e-03,-0.92,-0.92,0.7,0.74
8.803840e-03,-0.92,-1,0.74,0.7
8.804000e-03,-1,-0.92,0.7,0.74
8.804160e-03,-0.92,-1,0.7,0.7
8.804320e-03,-1,-0.92,0.7,0.74
8.804480e-03,-1,-1,0.7,0.7
8.804640e-03,-1,-0.92,0.7,0.74
8.804800e-03,-1,-1,0.7,0.7
8.804960e-03,-1,-0.92,0.74,0.74
8.805120e-03,-1,-1,0.74,0.7
8.805280e-03,-1,-0.92,0.7,0.74
8.805440e-03,-1,-1,0.74,0.7
8.805600e-03,-0.92,-0.92,0.7,0.74
8.805760e-03,-0.92,-1,0.7,0.7
