input freq (MHz),temp/C,highest voltage that still has symm (mV),lowest voltage that still has symm (mV),voltage  (mV),base error (mV),with fluc,current (A),error(A),,y intercept,,0.0227
3,52,9.106,9.0845,9.09525,0.0001,0.01085,0.909525,0.001085,,estimate of ambient B field (G),,9.80E-06
3.1,52.5,9.411,9.3942,9.4026,0.0001,0.0085,0.94026,0.00085,,,,
3.2,51.6,9.7413,9.6906,9.71595,0.0001,0.02545,0.971595,0.002545,,,,
3.3,48.5,10.0847,10.0498,10.06725,0.0001,0.01755,1.006725,0.001755,,,,
3.4,48.4,10.4645,10.4123,10.4384,0.0001,0.0262,1.04384,0.00262,,,,
3.5,46.3,10.7304,10.694,10.7122,0.0001,0.0183,1.07122,0.00183,,,,
3.6,51.3,11.0643,11.021,11.04265,0.0001,0.02175,1.104265,0.002175,,,,
3.7,50.2,11.399,11.3501,11.37455,0.0001,0.02455,1.137455,0.002455,,,,
3.8,47.8,11.18049,11.1379,11.159195,0.0001,0.021395,1.1159195,0.0021395,,,,
3.9,46.6,12.0748,12.039,12.0569,0.0001,0.018,1.20569,0.0018,,,,
4,49,12.3287,12.29187,12.310285,0.0001,0.018515,1.2310285,0.0018515,,,,
