input freq (MHz),temp/C,highest voltage that still has symm (mV),lowest voltage that still has symm (mV),voltage  (mV),base error (mV),with fluc,current (A),error(A)
3,48.3,10.7235,10.7934,10.75845,0.0001,0.03505,1.075845,0.003505
3.1,50.8,11.182,11.0349,11.10845,0.0001,0.07365,1.110845,0.007365
3.2,51.7,11.4795,11.4248,11.45215,0.0001,0.02745,1.145215,0.002745
3.3,50.8,11.7069,11.7919,11.7494,0.0001,0.0426,1.17494,0.00426
3.4,48.8,12.0715,12.1249,12.0982,0.0001,0.0268,1.20982,0.00268
3.5,47.9,12.4228,12.4532,12.438,0.0001,0.0153,1.2438,0.00153
3.6,47.3,12.7922,12.7235,12.75785,0.0001,0.03445,1.275785,0.003445
3.7,48.5,13.1585,13.0581,13.1083,0.0001,0.0503,1.31083,0.00503
3.8,50.3,13.3965,13.4479,13.4222,0.0001,0.0258,1.34222,0.00258
3.9,50.6,13.7675,13.7024,13.73495,0.0001,0.03265,1.373495,0.003265
4,49.6,14.0615,14.0911,14.0763,0.0001,0.0149,1.40763,0.00149
